"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","year","round","circuitId","name","circuit","country","lat","lng","alt","code","forename","surname","nationality"
18,1,1,"1:26.714",1,1,"1",1,1,2008,1,1,"Australian Grand Prix","Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","HAM","Lewis","Hamilton","British"
18,5,3,"1:27.079",5,3,"5",5,1,2008,1,1,"Australian Grand Prix","Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","KOV","Heikki","Kovalainen","Finnish"
19,8,2,"1:36.230",23,2,"1",1,1,2008,2,2,"Malaysian Grand Prix","Sepang International Circuit","Malaysia",2.76083,101.738,"18","RAI","Kimi","Räikkönen","Finnish"
19,5,3,"1:36.613",25,8,"3",3,1,2008,2,2,"Malaysian Grand Prix","Sepang International Circuit","Malaysia",2.76083,101.738,"18","KOV","Heikki","Kovalainen","Finnish"
20,9,1,"1:33.096",47,1,"3",3,1,2008,3,3,"Bahrain Grand Prix","Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","KUB","Robert","Kubica","Polish"
20,13,2,"1:33.123",45,2,"1",1,1,2008,3,3,"Bahrain Grand Prix","Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","MAS","Felipe","Massa","Brazilian"
20,1,3,"1:33.292",57,3,"13",13,11,2008,3,3,"Bahrain Grand Prix","Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","HAM","Lewis","Hamilton","British"
21,8,1,"1:21.813",67,1,"1",1,1,2008,4,4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","RAI","Kimi","Räikkönen","Finnish"
21,13,3,"1:22.058",68,3,"2",2,1,2008,4,4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","MAS","Felipe","Massa","Brazilian"
22,13,1,"1:27.617",89,1,"1",1,1,2008,5,5,"Turkish Grand Prix","Istanbul Park","Turkey",40.9517,29.405,"130","MAS","Felipe","Massa","Brazilian"
22,5,2,"1:27.808",100,2,"12",12,11,2008,5,5,"Turkish Grand Prix","Istanbul Park","Turkey",40.9517,29.405,"130","KOV","Heikki","Kovalainen","Finnish"
22,1,3,"1:27.923",90,3,"2",2,1,2008,5,5,"Turkish Grand Prix","Istanbul Park","Turkey",40.9517,29.405,"130","HAM","Lewis","Hamilton","British"
23,13,1,"1:15.787",111,1,"3",3,1,2008,6,6,"Monaco Grand Prix","Circuit de Monaco","Monaco",43.7347,7.42056,"7","MAS","Felipe","Massa","Brazilian"
23,8,2,"1:15.815",117,2,"9",9,1,2008,6,6,"Monaco Grand Prix","Circuit de Monaco","Monaco",43.7347,7.42056,"7","RAI","Kimi","Räikkönen","Finnish"
23,1,3,"1:15.839",109,3,"1",1,1,2008,6,6,"Monaco Grand Prix","Circuit de Monaco","Monaco",43.7347,7.42056,"7","HAM","Lewis","Hamilton","British"
24,9,2,"1:18.498",129,2,"1",1,1,2008,7,7,"Canadian Grand Prix","Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","KUB","Robert","Kubica","Polish"
25,8,1,"1:16.449",150,1,"2",2,1,2008,8,8,"French Grand Prix","Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","RAI","Kimi","Räikkönen","Finnish"
25,13,2,"1:16.490",149,2,"1",1,1,2008,8,8,"French Grand Prix","Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","MAS","Felipe","Massa","Brazilian"
25,1,3,"1:16.693",158,13,"10",10,1,2008,8,8,"French Grand Prix","Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","HAM","Lewis","Hamilton","British"
26,5,1,"1:21.049",173,1,"5",5,11,2008,9,9,"British Grand Prix","Silverstone Circuit","UK",52.0786,-1.01694,"153","KOV","Heikki","Kovalainen","Finnish"
26,17,2,"1:21.554",178,2,"10",10,11,2008,9,9,"British Grand Prix","Silverstone Circuit","UK",52.0786,-1.01694,"153","WEB","Mark","Webber","Australian"
26,8,3,"1:21.706",172,3,"4",4,11,2008,9,9,"British Grand Prix","Silverstone Circuit","UK",52.0786,-1.01694,"153","RAI","Kimi","Räikkönen","Finnish"
27,1,1,"1:15.666",189,1,"1",1,1,2008,10,10,"German Grand Prix","Hockenheimring","Germany",49.3278,8.56583,"103","HAM","Lewis","Hamilton","British"
27,13,2,"1:15.859",191,2,"3",3,1,2008,10,10,"German Grand Prix","Hockenheimring","Germany",49.3278,8.56583,"103","MAS","Felipe","Massa","Brazilian"
27,5,3,"1:16.143",193,3,"5",5,1,2008,10,10,"German Grand Prix","Hockenheimring","Germany",49.3278,8.56583,"103","KOV","Heikki","Kovalainen","Finnish"
28,1,1,"1:20.899",213,1,"5",5,1,2008,11,11,"Hungarian Grand Prix","Hungaroring","Hungary",47.5789,19.2486,"264","HAM","Lewis","Hamilton","British"
28,5,2,"1:21.140",209,2,"1",1,1,2008,11,11,"Hungarian Grand Prix","Hungaroring","Hungary",47.5789,19.2486,"264","KOV","Heikki","Kovalainen","Finnish"
28,13,3,"1:21.191",225,3,"17",17,5,2008,11,11,"Hungarian Grand Prix","Hungaroring","Hungary",47.5789,19.2486,"264","MAS","Felipe","Massa","Brazilian"
29,13,1,"1:38.989",229,1,"1",1,1,2008,12,12,"European Grand Prix","Valencia Street Circuit","Spain",39.4589,-0.331667,"4","MAS","Felipe","Massa","Brazilian"
29,1,2,"1:39.199",230,2,"2",2,1,2008,12,12,"European Grand Prix","Valencia Street Circuit","Spain",39.4589,-0.331667,"4","HAM","Lewis","Hamilton","British"
29,9,3,"1:39.392",231,3,"3",3,1,2008,12,12,"European Grand Prix","Valencia Street Circuit","Spain",39.4589,-0.331667,"4","KUB","Robert","Kubica","Polish"
30,1,1,"1:47.338",251,1,"3",3,1,2008,13,13,"Belgian Grand Prix","Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","HAM","Lewis","Hamilton","British"
30,13,2,"1:47.678",249,2,"1",1,1,2008,13,13,"Belgian Grand Prix","Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","MAS","Felipe","Massa","Brazilian"
30,5,3,"1:47.815",258,3,"10",10,6,2008,13,13,"Belgian Grand Prix","Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","KOV","Heikki","Kovalainen","Finnish"
31,20,1,"1:37.555",269,1,"1",1,1,2008,14,14,"Italian Grand Prix","Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","VET","Sebastian","Vettel","German"
31,5,2,"1:37.631",270,2,"2",2,1,2008,14,14,"Italian Grand Prix","Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","KOV","Heikki","Kovalainen","Finnish"
31,17,3,"1:38.117",276,3,"8",8,1,2008,14,14,"Italian Grand Prix","Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","WEB","Mark","Webber","Australian"
32,13,1,"1:44.801",301,1,"13",13,1,2008,15,15,"Singapore Grand Prix","Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","MAS","Felipe","Massa","Brazilian"
32,1,2,"1:45.465",291,2,"3",3,1,2008,15,15,"Singapore Grand Prix","Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","HAM","Lewis","Hamilton","British"
32,8,3,"1:45.617",303,3,"15",15,3,2008,15,15,"Singapore Grand Prix","Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","RAI","Kimi","Räikkönen","Finnish"
33,1,1,"1:18.404",320,1,"12",12,1,2008,16,16,"Japanese Grand Prix","Fuji Speedway","Japan",35.3717,138.927,"583","HAM","Lewis","Hamilton","British"
33,8,2,"1:18.644",311,2,"3",3,1,2008,16,16,"Japanese Grand Prix","Fuji Speedway","Japan",35.3717,138.927,"583","RAI","Kimi","Räikkönen","Finnish"
